Price,Make,Model,Year,Mileage,Fuel Type,Body Type,Engine Size (Litres),Power
26950.0,KIA,Sportage,2019,96560.4,Diesel,SUV,1.6,115.0
12690.0,Volkswagen,Golf,2013,96560.4,Petrol,Hatchback,1.4,122.0
12250.0,Volkswagen,Golf,2013,125000.0,Petrol,Hatchback,1.2,85.0
12950.0,Volkswagen,Golf,2013,102000.0,Petrol,Estate,1.2,105.0
14995.0,Nissan,Qashqai,2016,159750.0,Diesel,Hatchback,1.5,110.0
52544.0,Audi,A3,2022,16.0,Hybrid,Hatchback,1.4,
5500.0,SEAT,Leon,2012,221000.0,Diesel,Hatchback,1.6,105.0
10950.0,Opel,Insignia,2016,167922.0,Diesel,Saloon,1.6,136.0
11995.0,Skoda,Fabia,2017,89298.0,Petrol,Hatchback,1.0,60.0
,Skoda,Octavia,2018,94364.0,Diesel,Saloon,1.6,90.0
14850.0,Audi,A4,2014,177415.0,Diesel,Saloon,2.0,120.0
11999.0,Audi,A5,2011,154496.64,Diesel,Hatchback,2.0,143.0
14650.0,Volkswagen,Passat,2015,154300.0,Diesel,Saloon,1.6,120.0
11450.0,Volkswagen,Polo,2016,120701.0,Petrol,Hatchback,1.0,60.0
11000.0,Volkswagen,Polo,2013,105001.0,Petrol,Hatchback,1.2,60.0
3250.0,Mazda,3,2010,217260.9,Diesel,Saloon,1.6,
27253.0,Dacia,Jogger,2022,0.0,Petrol,Crossover,1.0,110.0
22000.0,KIA,Ceed,2020,52303.55,Diesel,Estate,1.6,115.0
8950.0,Hyundai,Santa Fe,2013,318649.32,Diesel,SUV,2.2,197.0
17500.0,Nissan,Juke,2018,103001.0,Petrol,MPV,1.6,94.0
16500.0,BMW,3-Series,2013,136793.9,Diesel,Saloon,2.0,184.0
67140.0,Mazda,CX-60,2023,2.0,Hybrid,SUV,2.5,
7995.0,Dacia,Sandero,2014,128925.8367,Diesel,Hatchback,1.5,90.0
11495.0,Peugeot,208,2016,86698.0,Petrol,Hatchback,1.2,82.0
18000.0,Ford,Fiesta,2018,25000.0,Petrol,Hatchback,1.1,70.0
27845.0,Renault,Kadjar,2020,31582.0,Diesel,SUV,1.5,115.0
15995.0,Audi,A6,2014,326696.02,Diesel,Saloon,2.0,190.0
14950.0,Audi,A5,2014,273587.8,Diesel,Coupe,2.0,177.0
9950.0,Nissan,Note,2014,69660.0,Petrol,Hatchback,1.2,98.0
139950.0,Ferrari,Other,2010,48000.0,Petrol,Cabriolet,4.3,
,Hyundai,i20,2014,148582.0,Diesel,Hatchback,1.4,90.0
17500.0,Volkswagen,Beetle,2016,87224.0,Petrol,Hatchback,1.2,105.0
8950.0,Subaru,Outback,2012,197948.82,Diesel,Estate,2.0,150.0
29800.0,BMW,4-Series,2015,89129.0,Diesel,Cabriolet,2.0,184.0
25950.0,SEAT,Arona,2020,16000.0,Petrol,SUV,1.0,115.0
10600.0,Ford,Fiesta,2014,67122.0,Petrol,Hatchback,1.2,60.0
9950.0,Nissan,Juke,2014,87000.0,Petrol,SUV,1.6,117.0
25500.0,Mitsubishi,Lancer,2005,109435.12,Petrol,Saloon,2.0,
5995.0,Opel,Corsa,2010,91000.0,Petrol,Hatchback,1.2,
13900.0,Toyota,Yaris,2015,80467.0,Petrol,Hatchback,1.0,
29440.0,Dacia,Jogger,2022,50.0,Petrol,Crossover,1.0,110.0
41950.0,Hyundai,Santa Fe,2019,60086.0,Diesel,SUV,2.2,200.0
5250.0,Volkswagen,Caddy,2013,279877.1007,Diesel,MPV,1.6,
12450.0,Mercedes,SL-Class,2003,170584.0,Petrol,Cabriolet,3.7,
15850.0,BMW,3-Series,2013,236572.98,Diesel,Saloon,2.0,184.0
109945.0,Audi,Q7,2022,14850.0,Hybrid,Estate,3.0,
26950.0,Volkswagen,Taigo,2022,15874.0,Petrol,SUV,1.0,95.0
26499.0,BMW,5-Series,2017,115399.0,Diesel,Saloon,2.0,190.0
23900.0,BMW,X3,2016,209397.0,Diesel,SUV,2.0,190.0
