Price,Make,Model,Year,Mileage,Fuel Type,Body Type,Engine Size (Litres),Power
26950,KIA,Sportage,2019,96560.4,Diesel,SUV,1.6,115
12690,Volkswagen,Golf,2013,96560.4,Petrol,Hatchback,1.4,122
12250,Volkswagen,Golf,2013,125000,Petrol,Hatchback,1.2,85
12950,Volkswagen,Golf,2013,102000,Petrol,Estate,1.2,105
14995,Nissan,Qashqai,2016,159750,Diesel,Hatchback,1.5,110
6950,Vauxhall,Insignia,2012,6950,Diesel,Hatchback,2,
52544,Audi,A3,2022,16,Hybrid,Hatchback,1.4,
10750,Toyota,Vitz,2015,,Petrol,Hatchback,1,68
5500,SEAT,Leon,2012,221000,Diesel,Hatchback,1.6,105
10950,Opel,Insignia,2016,167922,Diesel,Saloon,1.6,136
11995,Skoda,Fabia,2017,89298,Petrol,Hatchback,1,60
,Skoda,Octavia,2018,94364,Diesel,Saloon,1.6,90
14850,Audi,A4,2014,177415,Diesel,Saloon,2,120
11999,Audi,A5,2011,154496.64,Diesel,Hatchback,2,143
14650,Volkswagen,Passat,2015,154300,Diesel,Saloon,1.6,120
11450,Volkswagen,Polo,2016,120701,Petrol,Hatchback,1,60
11000,Volkswagen,Polo,2013,105001,Petrol,Hatchback,1.2,60
3250,Mazda,3,2010,217260.9,Diesel,Saloon,1.6,
27253,Dacia,Jogger,2022,0,Petrol,Crossover,1,110
10000,Renault,Master,2018,270000,Diesel,Van,2.3,
22000,KIA,Ceed,2020,52303.55,Diesel,Estate,1.6,115
40000,BMW,M3,1986,,Petrol,Coupe,2.3,
5250,Citroen,Berlingo,2010,,Diesel,MPV,1.6,
8950,Hyundai,Santa Fe,2013,318649.32,Diesel,SUV,2.2,197
17500,Nissan,Juke,2018,103001,Petrol,MPV,1.6,94
16500,BMW,3-Series,2013,136793.9,Diesel,Saloon,2,184
10040,Ford,Transit Courier,2018,64639.1411,Diesel,Van,1.5,
67140,Mazda,CX-60,2023,2,Hybrid,SUV,2.5,
7995,Dacia,Sandero,2014,128925.8367,Diesel,Hatchback,1.5,90
11495,Peugeot,208,2016,86698,Petrol,Hatchback,1.2,82
18000,Ford,Fiesta,2018,25000,Petrol,Hatchback,1.1,70
27845,Renault,Kadjar,2020,31582,Diesel,SUV,1.5,115
15995,Audi,A6,2014,326696.02,Diesel,Saloon,2,190
14950,Audi,A5,2014,273587.8,Diesel,Coupe,2,177
9950,Nissan,Note,2014,69660,Petrol,Hatchback,1.2,98
139950,Ferrari,Other,2010,48000,Petrol,Cabriolet,4.3,
,Hyundai,i20,2014,148582,Diesel,Hatchback,1.4,90
950,Chevrolet,Lacetti,2009,,Petrol,Estate,1.6,
17500,Volkswagen,Beetle,2016,87224,Petrol,Hatchback,1.2,105
8950,Subaru,Outback,2012,197948.82,Diesel,Estate,2,150
29800,BMW,4-Series,2015,89129,Diesel,Cabriolet,2,184
25950,SEAT,Arona,2020,16000,Petrol,SUV,1,115
10600,Ford,Fiesta,2014,67122,Petrol,Hatchback,1.2,60
9950,Nissan,Juke,2014,87000,Petrol,SUV,1.6,117
25500,Mitsubishi,Lancer,2005,109435.12,Petrol,Saloon,2,
5995,Opel,Corsa,2010,91000,Petrol,Hatchback,1.2,
13900,Toyota,Yaris,2015,80467,Petrol,Hatchback,1,
29440,Dacia,Jogger,2022,50,Petrol,Crossover,1,110
41950,Hyundai,Santa Fe,2019,60086,Diesel,SUV,2.2,200
2950,Opel,Insignia,2009,,Diesel,Hatchback,2,
5250,Volkswagen,Caddy,2013,279877.1007,Diesel,MPV,1.6,
12450,Mercedes,SL-Class,2003,170584,Petrol,Cabriolet,3.7,
15850,BMW,3-Series,2013,236572.98,Diesel,Saloon,2,184
109945,Audi,Q7,2022,14850,Hybrid,Estate,3,
20250,Hyundai,Santa Fe,2018,183001,Diesel,Van,2.2,
26950,Volkswagen,Taigo,2022,15874,Petrol,SUV,1,95
56950,Porsche,Panamera,2016,150344,Petrol Plug-in Hybrid,Hatchback,3,416
26499,BMW,5-Series,2017,115399,Diesel,Saloon,2,190
23900,BMW,X3,2016,209397,Diesel,SUV,2,190
11900,Renault,Clio,2016,55200,Petrol,Hatchback,1.1,75
,Audi,A3,2018,97931,Diesel,Hatchback,1.6,116
10950,Peugeot,2008,2016,94944,Petrol,SUV,1.2,82
2750,Opel,Astra,2010,333133.38,Diesel,Hatchback,1.7,
74995,BMW,M2,2020,15921,Petrol,Coupe,3,411
14888,Toyota,Yaris,2015,104002,Hybrid,Hatchback,1.5,100
9500,Peugeot,RCZ,2012,123919.18,Diesel,Coupe,2,163
34110,Ford,Ranger,2019,113200,Diesel,Van,3.2,
8495,Suzuki,Splash,2013,48000,Petrol,Hatchback,1,65
12000,Hyundai,ix35,2014,99779.08,Diesel,SUV,1.7,115
5999,Volkswagen,Golf,2010,262322.42,Diesel,Hatchback,2,
4900,Volkswagen,CC,2011,308993.28,Diesel,Coupe,2,140
21949,Audi,A6,2015,119621,Diesel,Saloon,2,190
15950,Volkswagen,Tiguan,2014,128747.2,Diesel,SUV,2,110
30203,Dacia,Duster,2022,0,Diesel,SUV,1.5,115
6730,Nissan,X-Trail,2012,326213.218,Diesel,SUV,2,150
1200,Nissan,Micra,2003,77248.32,Petrol,Hatchback,1,
14227,Volkswagen,Transporter,2017,194000,Diesel,Van,2,
19999,Nissan,Skyline,2010,117000,Petrol Hybrid,Saloon,3.5,
13450,Volkswagen,Golf,2016,225307.6,Diesel,Hatchback,1.6,110
5450,Peugeot,Partner,2014,280000,Diesel,MPV,1.6,
4950,Renault,Megane,2013,233000,Diesel,Hatchback,1.5,110
23950,Suzuki,Vitara,2021,19000,Petrol,SUV,1.4,129
18000,Renault,Clio,2020,37000,Petrol,Hatchback,1,100
19800,Renault,Clio,2021,26529,Petrol,Hatchback,1,100
,SEAT,Ateca,2022,,Diesel,SUV,2,115
6700,Hyundai,i40,2013,209.2142,Diesel,Saloon,1.7,116
,Toyota,Camry,2022,,Hybrid,Saloon,2.487,218
19050,Jaguar,XF,2016,156305.5382,Diesel,Saloon,2,180
3500,Renault,Kangoo,2011,195000,Diesel,MPV,1.5,
29000,Toyota,RAV4,2018,,Petrol Hybrid,SUV,2.5,197
