Price,Make,Model,Year,Mileage,Fuel Type,Body Type,Engine Size (Litres),Power
3250,Mazda,3,2010,217260.9,Diesel,Saloon,1.6,
27253,Dacia,Jogger,2022,0,Petrol,Crossover,1,110
10000,Renault,Master,2018,270000,Diesel,Van,2.3,
22000,KIA,Ceed,2020,52303.55,Diesel,Estate,1.6,115
40000,BMW,M3,1986,,Petrol,Coupe,2.3,
5250,Citroen,Berlingo,2010,,Diesel,MPV,1.6,
8950,Hyundai,Santa Fe,2013,318649.32,Diesel,SUV,2.2,197
17500,Nissan,Juke,2018,103001,Petrol,MPV,1.6,94
16500,BMW,3-Series,2013,136793.9,Diesel,Saloon,2,184
10040,Ford,Transit Courier,2018,64639.1411,Diesel,Van,1.5,
67140,Mazda,CX-60,2023,2,Hybrid,SUV,2.5,
7995,Dacia,Sandero,2014,128925.8367,Diesel,Hatchback,1.5,90
11495,Peugeot,208,2016,86698,Petrol,Hatchback,1.2,82
18000,Ford,Fiesta,2018,25000,Petrol,Hatchback,1.1,70
