Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
Volkswagen Taigo Life 1.0tsi Petrol 95bhp Brand N,"€31,830",Volkswagen,Taigo,---,---,2022,10 km,Petrol,Manual,SUV,1.0 litre,---,---,---,5,Silver,---,---,---,---,---,Available,,,,
Toyota Yaris,"€15,500",Toyota,Yaris,Y20,Medium Trim,2019,"58,420 km",Petrol,Manual,MPV,1.0 litre,72hp,15.3 sec,5,4,Grey,Ireland,1,190,Jan 2023,5/5,,,,,
"KIA Sportage, 2019 K 4 huge spec  Finance availabl","€26,950",KIA,Sportage,K4,Luxury Trim,2019,"60,000 mi",Diesel,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,Black,Ireland,---,270,Feb 2023,5/5,Available,,,,
2013 Volkswagen Golf 1.4 Petrol automatic TSI,"€12,690",Volkswagen,Golf,HIGHLINE,Luxury Trim,2013,"60,000 mi",Petrol,Automatic,Hatchback,1.4 litre,122hp,9.5 sec,5,5,White,Ireland,1,270,Jul 2024,---,Available,,,,
Volkswagen Golf TSI,"€12,250",Volkswagen,Golf,TRENDLINE,Base Trim,2013,"125,000 km",Petrol,Automatic,Hatchback,1.2 litre,85hp,11.9 sec,5,5,Red,Ireland,---,190,---,5/5,,,,,
"2013 Vw Golf, Irish Car, Nct 11/24, Comfortline,","€12,950",Volkswagen,Golf,COMFORTLINE,Medium Trim,2013,"102,000 km",Petrol,Manual,Estate,1.2 litre,105hp,10.2 sec,5,5,Blue,Ireland,2,200,Oct 2024,---,3 Month,,,,
2016 Nissan Qashqai 1.5 DCi SV + SP/NP,"€14,995",Nissan,Qashqai,SV,Medium Trim,2016,"159,750 km",Diesel,Manual,Hatchback,1.5 litre,110hp,11.9 sec,5,4,Blue,Ireland,1,180,Jul 2024,5/5,,,,,
Vauxhall Insignia 2.0 CDTI SRI Eco Flex 2012,"€6,950",Vauxhall,Insignia,---,---,2012,"6,950 km",Diesel,---,Hatchback,2.0 litre,---,---,---,---,White,Ireland,---,200,Apr 2023,---,,,,,
Audi A3 A3 SB Tfsi E 204HP S-T S Line,"€52,544",Audi,A3,---,---,2022,16 km,Hybrid,Manual,Hatchback,1.4 litre,---,---,---,4,White,Ireland,---,200,---,---,Available,---,,,
Toyota vitz,"€10,750",Toyota,Vitz,Terra,Medium Trim,2015,---,Petrol,Automatic,Hatchback,1.0 litre,68hp,12 sec,5,5,Red,Ireland,---,210,---,---,,,,,
2012 1.6 Leon,"€5,500",SEAT,Leon,REFERENCE,Luxury Trim,2012,"221,000 km",Diesel,Manual,Hatchback,1.6 litre,105hp,11.3 sec,5,4,Grey,Ireland,5,190,Jul 2022,---,,,,,
Opel Insignia 2016,"€10,950",Opel,Insignia,S,Base Trim,2016,"167,922 km",Diesel,Manual,Saloon,1.6 litre,136hp,10.5 sec,5,4,Blue,Ireland,2,180,Sep 2022,---,,,,,
Scania 124 470 Mobile Home Truck,"€23,500",Scania,Other,,,2002,700 km,Unknown,---,Unknown,---,,,,,,,,,,,,,470,,
Skoda Fabia Active 1.0mpi 60bhp 4DR,"€11,995",Skoda,Fabia,ACTIVE,Base Trim,2017,"89,298 km",Petrol,Manual,Hatchback,1.0 litre,60hp,15.7 sec,5,4,Grey,Ireland,2,190,Mar 2023,5/5,Available,,,,
Skoda Octavia Ambition 1.6tdi 90hp,No Price,Skoda,Octavia,Ambition,Medium Trim,2018,"94,364 km",Diesel,Manual,Saloon,1.6 litre,90hp,12.2 sec,5,4,White,Ireland,2,190,Apr 2022,5/5,Available,,,,
142 AUDI A4 ULTRA SAT NAV LEATHER,"€14,850",Audi,A4,SE,Sports Trim,2014,"177,415 km",Diesel,Manual,Saloon,2.0 litre,120hp,10.5 sec,5,4,Black,Ireland,1,190,Feb 2023,5/5,,,,,
2011 AUDI A5 SPORTBACK **AUTOMATIC**,"€11,999",Audi,A5,SE,Base Trim,2011,"96,000 mi",Diesel,Automatic,Hatchback,2.0 litre,143hp,9.7 sec,4,5,Grey,Ireland,3,390,May 2022,---,,,,,
